City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,safotu,-13.4513,-172.4018,27.39,81,80,10.68,WS,1697501371
1,bankim,6.083,11.4905,19.51,96,100,0.24,CM,1697501371
2,aasiaat,68.7098,-52.8699,-10.6,98,97,4.06,GL,1697501372
3,ushuaia,-54.8,-68.3,7.81,98,75,7.2,AR,1697501196
4,albany,42.6001,-73.9662,11.43,77,81,1.85,US,1697501372
5,ketchikan,55.3422,-131.6461,13.99,88,75,6.69,US,1697501372
6,hamilton,39.1834,-84.5333,12.07,81,100,3.09,US,1697501372
7,waitangi,-43.9535,-176.5597,13.31,84,74,14.3,NZ,1697501372
8,papatowai,-46.5619,169.4708,9.89,49,80,4.89,NZ,1697501372
9,adamstown,-25.066,-130.1015,22.12,84,38,3.83,PN,1697501373
10,grytviken,-54.2811,-36.5092,-0.3,92,20,4.19,GS,1697501373
11,keflavik,64.0049,-22.5624,5.24,87,100,3.09,IS,1697501373
12,port lincoln,-34.7333,135.8667,14.88,62,8,6.18,AU,1697501373
13,olonkinbyen,70.9221,-8.7187,0.69,71,100,5.46,SJ,1697501373
14,the pas,53.8251,-101.2541,10.46,64,3,1.91,CA,1697501373
15,edinburgh of the seven seas,-37.0676,-12.3116,12.05,72,21,3.78,SH,1697501374
16,bathsheba,13.2167,-59.5167,28.34,78,20,5.66,BB,1697501374
17,coyhaique,-45.5752,-72.0662,9.34,57,75,1.03,CL,1697501374
18,uturoa,-16.7333,-151.4333,25.65,79,69,5.22,PF,1697501374
19,roma,43.2128,-75.4557,11.62,83,100,1.54,US,1697501164
20,avarua,-21.2078,-159.775,24.03,60,75,6.17,CK,1697501374
21,olanchito,15.5,-86.5667,22.91,98,100,0.59,HN,1697501127
22,mata-utu,-13.2816,-176.1745,27.35,79,54,10.08,WF,1697501375
23,berdigestyakh,62.0989,126.6992,-4.84,69,100,4.47,RU,1697501375
24,mpongwe,-13.5091,28.155,20.47,81,100,2.04,ZM,1697501375
25,st. john's,47.5649,-52.7093,9.43,97,100,4.02,CA,1697501212
26,blackmans bay,-43.0167,147.3167,15.41,50,9,0.89,AU,1697501375
27,sorong,-0.8833,131.25,25.8,86,95,3.88,ID,1697501375
28,la passe,45.5549,-0.8967,15.13,61,100,6.15,FR,1697501375
29,kodiak,57.79,-152.4072,8.73,93,75,1.54,US,1697501376
30,kourou,5.1552,-52.6478,28.03,80,47,4.42,GF,1697501376
31,stanley,54.868,-1.6985,0.44,100,0,0.51,GB,1697501376
32,sodankyla,67.4167,26.6,-0.04,92,99,4.32,FI,1697501376
33,dorado,18.4588,-66.2677,29.94,92,73,1.34,PR,1697501376
34,beberibe,-4.1797,-38.1306,25.66,80,42,5.58,BR,1697501178
35,port-aux-francais,-49.35,70.2167,2.81,90,93,12.72,TF,1697501376
36,udachny,66.4167,112.4,-3.64,100,100,1.07,RU,1697501377
37,great falls,47.5002,-111.3008,20.79,48,0,5.66,US,1697501113
38,chania,35.5122,24.0156,21.78,88,40,5.14,GR,1697501377
39,gaitania,3.0906,-75.6723,19.76,77,93,1.91,CO,1697501377
40,taksimo,56.3444,114.8794,0.95,82,100,0.89,RU,1697501377
41,georgetown,5.4112,100.3354,27.75,78,20,1.54,MY,1697501361
42,bethel,41.3712,-73.414,12.74,80,100,0.0,US,1697501378
43,arraial do cabo,-22.9661,-42.0278,22.54,95,19,11.35,BR,1697501378
44,kavaratti,10.5669,72.642,27.8,76,96,4.48,IN,1697501378
45,puerto natales,-51.7236,-72.4875,5.09,89,79,4.3,CL,1697501190
46,abatskoye,56.2875,70.4555,7.95,94,45,3.42,RU,1697501378
47,palikir - national government center,6.9248,158.1611,30.47,74,75,2.57,FM,1697501379
48,dudinka,69.4058,86.1778,-0.18,98,100,2.68,RU,1697501379
49,kharp,66.8014,65.8081,1.4,100,100,0.44,RU,1697501379
